atom ion acol tcol arad xrad adi bdi t0 t1
14  10   3.23e-13 4.66e+06 7.70e-11 7.14e-01 6.18e-02 3.03e-01 3.88e+05 1.12e+06
14  11   1.95e-13 5.52E+06 1.20E-10 8.55E-01 1.38E-02 1.42E+00 2.51E+05 3.93E+06
14  12   8.08e-14 6.07e+06 1.50e-10 8.31e-01 3.27e-01 3.06e-01 1.88e+07 3.60e+06
14  13   7.44E-15 2.83E+07 2.10e-10 7.65e-01 1.89e-01 2.86e-01 1.99e+07 4.14e+06
14  14   3.09E-15 3.10E+07 2.64E-10 7.26e-01 0.00e-01 0.00e-00 0.00e+00 0.00e+00
16  1    1.45E-10 1.20E+05 4.10E-13 6.30E-01 1.62E-03 0.00E-00 1.25E+05 0.00E+00
16  2    7.11E-11 2.71E+05 1.80E-12 6.86E-01 1.09E-02 1.20E-02 1.92E+05 1.80E+04
16  3    2.12E-11 4.06E+05 2.70E-12 7.45E-01 3.35E-02 6.59E-02 1.89E+05 1.59E+05
16  4    6.39E-12 5.49E+05 5.70E-12 7.55E-01 3.14E-02 6.89E-02 1.68E+05 8.04E+04
16  5    6.43E-12 8.47E+05 1.20E-11 7.01E-01 1.27E-02 1.87E-01 1.38E+05 1.71E+05
16  6    1.85E-12 1.02E+06 1.70E-11 8.49E-01 1.47E-02 1.29E-01 1.80E+06 1.75E+06
16  7    1.71E-12 3.26E+06 2.70E-11 7.33E-01 1.36E-02 1.04E+00 6.90E+05 2.15E+06
16  8    1.01E-12 3.81E+06 4.00E-11 6.96E-01 2.38E-02 1.12E+00 5.84E+05 2.59E+06
16  9    6.97E-13 4.40E+06 5.50E-11 7.11E-01 3.19E-02 1.40E+00 5.17E+05 2.91E+06
16 10    4.75E-13 5.19E+06 7.40E-11 7.16E-01 7.13E-02 1.00E+00 6.66E+05 2.32E+06
16 11    2.90E-13 5.86E+06 9.20E-11 7.14E-01 8.00E-02 5.55E-01 6.00E+05 2.41E+06
16 12    1.63E-13 6.55E+06 1.40E-10 7.55E-01 7.96E-02 1.63E+00 5.09E+05 6.37E+06
16 13    1.04E-13 7.56E+06 1.70E-10 8.32E-01 1.34E-02 3.04E-01 2.91E+05 1.04E+06
16 14    4.42E-14 8.02E+06 2.50E-10 8.52E-01 4.02E-01 2.98E-01 2.41E+07 4.67E+06
16 15    4.25E-15 3.74E+07 3.30E-10 7.83E-01 2.41E-01 2.81E-01 2.54E+07 5.30E+06
16 16    1.81E-15 4.05E+07 3.68E-10 7.26E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00
18  1    2.20E-10 1.83E+05 3.77E-13 6.51E-01 1.00E-03 5.00E-03 3.20E+05 3.10E+05
18  2    1.20E-10 3.21E+05 1.95E-12 7.52E-01 1.10E-02 4.50E-02 2.90E+05 5.50E+05
18  3    3.50E-11 4.75E+05 3.23E-12 8.69E-01 3.40E-02 5.70E-02 2.39E+05 6.00E+05
18  4    3.80E-11 6.94E+05 6.03E-12 8.12E-01 6.85E-02 8.70E-02 2.56E+05 3.81E+05
18  5    6.47E-12 8.70E+05 9.12E-12 8.11E-01 9.00E-02 7.69E-02 2.50E+05 3.30E+05
18  6    1.72E-12 1.06E+06 1.58E-11 7.93E-01 6.35E-02 1.40E-01 2.10E+05 2.15E+05
18  7    2.20E-12 1.44E+06 2.69E-11 7.44E-01 2.60E-02 1.20E-01 1.80E+05 2.15E+05
18  8    6.95E-13 1.66E+06 3.55E-11 9.10E-01 1.70E-02 1.00E-01 2.70E+06 3.30E+06
18  9    7.57E-13 4.90E+06 4.90E-11 8.01E-01 2.10E-02 1.92E+00 8.30E+05 3.50E+06
18 10    4.75E-13 5.56E+06 6.92E-11 8.11E-01 3.50E-02 1.66E+00 6.95E+05 3.60E+06
18 11    3.45E-13 6.25E+06 9.55E-11 7.93E-01 4.30E-02 1.67E+00 6.05E+05 3.80E+06
18 12    2.48E-13 7.17E+06 1.23E-10 7.02E-01 7.13E-02 1.40E+00 6.68E+05 2.90E+06
18 13    1.57E-13 7.96E+06 1.58E-10 7.90E-01 9.60E-02 1.31E+00 6.50E+05 3.60E+06
18 14    9.10E-14 8.77E+06 2.14E-10 7.74E-01 8.50E-02 1.02E+00 5.30E+05 2.80E+06
18 15    6.05E-14 9.92E+06 2.63E-10 9.07E-01 1.70E-02 2.45E-01 3.55E+05 1.10E+06
18 16    2.62E-14 1.07E+07 3.72E-10 8.99E-01 4.76E-01 2.94E-01 3.01E+07 6.05E+06
18 17    2.60E-15 4.78E+07 4.95E-10 8.16E-01 2.97E-01 2.77E-01 3.13E+07 6.54E+06
18 18    1.13E-15 5.14E+07 4.91E-10 7.26E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00
20  1    2.09E-10 7.09E+04 1.12E-13 9.00E-01 3.28E-04 9.07E-02 3.46E+04 1.64E+04
20  2    9.00E-11 1.38E+05 6.78E-13 8.00E-01 5.84E-02 1.10E-01 3.85E+05 2.45E+05
20  3    5.35E-11 5.94E+05 3.96E-12 7.00E-01 1.12E-01 1.74E-02 4.08E+05 4.27E+05
20  4    2.58E-11 7.81E+05 7.08E-12 7.80E-01 1.32E-01 1.32E-01 3.82E+05 6.92E+05
20  5    1.31E-11 9.79E+05 1.07E-11 8.40E-01 1.33E-01 1.14E-01 3.53E+05 8.78E+05
20  6    5.91E-12 1.27E+06 1.80E-11 8.20E-01 1.26E-01 1.62E-01 3.19E+05 7.43E+05
20  7    2.86E-12 1.49E+06 2.40E-11 8.20E-01 1.39E-01 8.78E-02 3.22E+05 6.99E+05
20  8    6.96E-13 1.66E+06 3.76E-11 8.10E-01 9.55E-02 2.63E-01 2.47E+05 4.43E+05
20  9    9.56E-13 2.18E+06 5.04E-11 7.80E-01 4.02E-02 6.27E-02 2.29E+05 2.81E+05
20 10    3.20E-13 2.45E+06 6.46E-11 9.00E-01 4.19E-02 6.16E-02 3.73E+06 5.84E+06
20 11    3.86E-13 6.87E+06 8.51E-11 8.20E-01 2.57E-02 2.77E+00 9.26E+05 4.89E+06
20 12    2.54E-13 7.61E+06 1.18E-10 8.10E-01 4.45E-02 2.23E+00 7.96E+05 4.62E+06
20 13    1.90E-13 8.43E+06 1.58E-10 8.00E-01 5.48E-02 2.00E+00 6.90E+05 4.52E+06
20 14    1.42E-13 9.48E+06 2.04E-10 7.30E-01 7.13E-02 1.82E+00 6.70E+05 3.32E+06
20 15    9.25E-14 1.04E+07 2.60E-10 8.00E-01 1.09E-01 1.75E+00 7.00E+05 4.93E+06
20 16    5.48E-14 1.13E+07 3.24E-10 7.80E-01 1.10E-01 2.43E-01 5.67E+05 4.41E+06
20 17    3.74E-14 1.26E+07 3.81E-10 8.50E-01 2.05E-02 1.85E-01 4.21E+05 2.27E+06
20 18    1.85E-14 1.34E+07 5.13E-10 8.50E-01 5.49E-01 2.92E-01 3.65E+07 7.25E+06
20 19    1.68E-15 5.95E+07 6.46E-10 8.30E-01 3.55E-01 2.75E-01 3.78E+07 7.68E+06
20 20    7.39E-16 6.35E+07 6.35E-10 7.26E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00
26  1    1.26E-10 9.13E+04 1.42E-13 8.91E-01 1.58E-03 4.56E-01 6.00E+04 8.97E+04
26  2    4.97E-11 1.88E+05 1.02E-12 8.43E-01 8.38E-03 3.23E-01 1.94E+05 1.71E+05
26  3    1.49E-10 3.56E+05 3.32E-12 7.46E-01 1.54E-02 3.10E-01 3.31E+05 2.73E+05
26  4    3.90E-11 6.36E+05 7.80E-12 6.82E-01 3.75E-02 4.11E-01 4.32E+05 3.49E+05
26  5    1.66E-11 8.70E+05 1.51E-11 6.99E-01 1.17E-01 3.59E-01 6.28E+05 5.29E+05
26  6    7.16E-12 1.15E+06 2.62E-11 7.28E-01 2.54E-01 9.75E-02 7.50E+05 4.69E+05
26  7    3.00E-12 1.45E+06 4.12E-11 7.59E-01 2.91E-01 2.29E-01 7.73E+05 6.54E+05
26  8    1.02E-12 1.75E+06 6.05E-11 7.90E-01 1.50E-01 4.20E+00 2.62E+05 1.32E+06
26  9    2.54E-12 2.73E+06 8.13E-11 8.10E-01 1.40E-01 3.30E+00 2.50E+05 1.33E+06
26 10    1.70E-12 3.04E+06 1.09E-10 8.29E-01 1.00E-01 5.30E+00 2.57E+05 1.41E+06
26 11    1.11E-12 3.37E+06 1.33E-10 8.28E-01 2.00E-01 1.50E+00 2.84E+05 1.52E+06
26 12    6.42E-13 3.84E+06 1.61E-10 8.34E-01 2.40E-01 7.00E-01 8.69E+05 1.51E+06
26 13    3.59E-13 4.19E+06 2.00E-10 8.36E-01 2.60E-01 6.00E-01 4.21E+05 1.82E+06
26 14    9.30E-14 4.55E+06 2.41E-10 8.40E-01 1.90E-01 5.00E-01 4.57E+05 1.84E+06
26 15    1.62E-14 5.30E+06 2.89E-10 8.46E-01 1.20E-01 1.00E+00 2.85E+05 2.31E+06
26 16    5.97E-14 5.68E+06 3.42E-10 8.50E-01 3.50E-01 0.00     8.18E+06 0.00
26 17    8.44E-14 1.47E+07 3.87E-10 8.36E-01 6.60E-02 7.80E+00 1.51E+06 9.98E+06
26 18    5.92E-14 1.58E+07 4.52E-10 8.24E-01 1.00E-01 6.30E+00 1.30E+06 9.98E+06
26 19    4.72E-14 1.69E+07 5.25E-10 8.16E-01 1.30E-01 5.50E+00 1.19E+06 1.00E+07
26 20    3.79E-14 1.84E+07 6.07E-10 8.11E-01 2.30E-01 3.60E+00 1.09E+06 1.10E+07
26 21    2.60E-14 1.96E+07 6.98E-10 8.08E-01 1.40E-01 4.90E+00 9.62E+05 8.34E+06
26 22    1.61E-14 2.09E+07 7.72E-10 8.00E-01 1.10E-01 1.60E+00 7.23E+05 1.01E+07
26 23    1.16E-14 2.26E+07 7.86E-10 7.18E-01 4.10E-02 4.20E-01 4.23E+05 1.07E+07
26 24    5.39E-15 2.35E+07 8.57E-10 6.77E-01 7.47E-01 2.84E-01 5.84E+07 1.17E+07
26 25    5.67E-16 1.02E+08 9.46E-10 7.32E-01 5.19E-01 2.79E-01 6.01E+07 9.97E+06
26 26    2.57E-16 1.08E+08 1.20E-09 7.26E-01 0.00     0.00     0.00     0.00
28  1    1.34E-10 8.86E+04 3.60E-13 7.00E-01 1.41E-03 4.69E-01 9.82E+04 1.01E+05
28  2    6.38E-10 2.11E+05 1.00E-12 7.00E-01 5.20E-03 3.57E-01 2.01E+05 1.91E+05
28  3    1.51E-10 4.08E+05 1.40E-12 7.00E-01 1.38E-02 2.81E-01 3.05E+05 2.32E+05
