 atom ion ishell  a       b     c       d     e
   20 16  1    974.0   14.0   -4.6    1.3   -8.5                        
   20 16  2   1006.0   18.7   -5.3    2.8  -12.4                        
   26 22  1   1799.0   13.7   -4.4    1.0   -8.3                        
   26 22  2   1842.0   19.2   -5.5    2.8  -12.3                        
   28 24  1   2131.0   13.41  -3.76   1.16  -7.24                       
   28 24  2   2185.6   15.52  -4.27   3.09  -9.74                        
    6  1  1     11.3    6.0  -16.0   12.0  -15.1                        
    6  1  2     16.6   24.3   -7.8    2.5  -24.0                        
    7  2  1     29.6   25.0   -6.3    5.3  -25.7                        
    7  2  2     36.7   18.5   -4.3    2.8  -18.0                        
    8  3  1     54.9   25.0   -7.0    5.0  -18.0                        
    8  3  2     63.8   17.3   -3.5    2.9  -16.1                        
   10  5  1    126.0   25.5   -8.5    4.5  -16.8                        
   10  5  2    139.0   17.4   -3.8    2.8  -14.9                        
   11  6  1    172.0   25.5   -8.5    4.2  -16.8                        
   11  6  2    186.0   17.6   -4.0    2.8  -14.7                        
   12  7  1    225.0   25.5   -8.5    4.1  -16.8                        
   12  7  2    241.0   18.0   -4.3    2.8  -14.5                        
   13  8  1    285.0   27.0   -8.5    3.9  -16.8                        
   13  8  2    302.0   18.2   -4.5    2.8  -14.3                        
   14  9  1    351.0   27.0   -8.5    3.8  -16.8                        
   14  9  2    371.0   18.3   -4.7    2.8  -14.1                        
   16 11  1    505.0   27.0   -8.5    3.3  -16.8                        
   16 11  2    528.0   18.6   -5.1    2.8  -13.7                        
   18 13  1    686.0   27.0   -8.5    3.0  -16.8                        
   18 13  2    713.0   18.7   -5.4    2.8  -13.3                        
   20 15  1    894.0   27.0   -8.5    2.7  -16.8                        
   20 15  2    925.0   18.9   -5.8    2.8  -12.8                        
   26 21  1   1689.0   27.4   -8.8    2.0  -16.6                        
   26 21  2   1731.0   19.2   -5.5    2.8  -12.3                        
   28 23  1   2000.3   24.76  -7.54   2.50 -14.64                        
   28 23  2   2082.6   15.74  -4.47   3.18 -10.13                       
    7  1  1     14.5   19.5  -30.5   15.0  -29.0                        
    7  1  2     20.3   19.0   -4.5    2.8  -20.2                        
    8  2  1     35.1   26.0   -8.0    8.4  -28.2                        
    8  2  2     42.6   17.8   -3.9    2.8  -18.1                        
   10  4  1     97.1   34.0  -10.0    7.5  -25.0                        
   10  4  2    108.0   17.8   -4.1    2.8  -16.7                        
   11  5  1    138.0   35.1  -12.4    7.2  -25.1                        
   11  5  2    151.0   18.3   -4.3    2.8  -16.3                        
   12  6  1    187.0   35.1  -12.4    6.9  -25.1                        
   12  6  2    201.0   18.4   -4.6    2.8  -16.0                        
   13  7  1    241.0   38.3  -12.4    6.7  -25.1                        
   13  7  2    258.0   18.5   -4.8    2.8  -15.7                        
   14  8  1    303.0   38.3  -12.4    6.4  -25.1                        
   14  8  2    321.0   18.6   -5.1    2.8  -15.4                        
   16 10  1    447.0   38.3  -12.4    5.5  -25.1                        
   16 10  2    469.0   18.8   -5.5    2.8  -14.7                        
   18 12  1    618.0   38.3  -12.4    4.8  -25.1                        
   18 12  2    644.0   18.9   -5.9    2.8  -14.0                        
   20 14  1    818.0   38.3  -12.4    4.3  -25.1                        
   20 14  2    847.0   19.0   -6.3    2.8  -13.2                        
   26 20  1   1582.0   41.1  -13.2    3.1  -24.9                        
   26 20  2   1622.0   19.2   -5.5    2.8  -12.3                        
   28 22  1   1882.5   37.12 -11.41   4.02 -22.30                       
   28 22  2   2179.8   16.08  -4.78   3.26 -10.62                      
    8  1  1     13.6    3.5  -18.5   15.6  -16.6                        
    8  1  2     28.5   18.2   -4.0    2.8  -20.2                        
   10  3  1     63.5    7.5  -17.5   25.0  -19.7                        
   10  3  2     86.2   18.2   -4.4    2.8  -18.4                        
   11  4  1     99.0   43.3  -16.3   10.7  -33.4                        
   11  4  2    126.0   18.4   -4.7    2.8  -18.0                        
   12  5  1    141.0   43.3  -16.3   10.3  -33.4                        
   12  5  2    172.0   18.6   -4.9    2.8  -17.5                        
   13  6  1    190.0   49.5  -16.3    9.9  -33.4                        
   13  6  2    225.0   18.9   -5.2    2.8  -17.1                        
   14  7  1    246.0   49.5  -16.3    9.6  -33.4                        
   14  7  2    285.0   19.0   -5.4    2.8  -16.6                        
   16  9  1    379.0   49.5  -16.3    8.0  -33.4                        
   16  9  2    426.0   19.1   -5.9    2.8  -15.6                        
   18 11  1    539.0   49.5  -16.3    6.9  -33.4                        
   18 11  2    594.0   19.2   -6.4    2.8  -14.6                        
   20 13  1    727.0   49.5  -16.3    6.1  -33.4                        
   20 13  2    790.0   19.2   -6.8    2.8  -13.7                        
   26 19  1   1456.0   54.8  -17.6    4.1  -33.2                        
