   -8.3e0    4.7e8    5.6e7    1.3e7    4.1e6    1.6e6    7.6e5    3.9e5    2.1e5    7.8e-3 
    7.5e0   -4.7e8    4.4e7    8.4e6    2.5e6    9.7e5    4.4e5    2.2e5    1.2e5    3.4e-3 
    3.4e-1    7.1e5   -1.0e8    1.0e7    2.4e6    8.2e5    3.5e5    1.7e5    9.1e4    1.9e-3 
    1.0e-1    6.0e4    2.4e6   -3.5e7    4.2e6    1.0e6    3.8e5    1.7e5    8.8e4    1.2e-3 
    4.6e-2    1.5e4    4.4e5    2.3e6   -1.7e7    2.8e6    6.6e5    2.5e5    1.1e5    9.6e-4 
    2.6e-2    5.8e3    1.5e5    5.2e5    2.5e6   -1.3e7    3.1e6    6.7e5    2.5e5    1.1e-3 
    1.6e-2    2.9e3    7.3e4    2.1e5    6.1e5    3.4e6   -1.4e7    4.6e6    9.6e5    1.9e-3 
    1.1e-2    1.6e3    3.2e4    1.0e5    2.5e5    8.6e5    5.5e6   -1.9e7    7.7e6    3.5e-3 
    7.8e-3    9.9e2    2.0e4    6.1e4    1.3e5    3.6e5    1.4e6    9.3e6   -1.5e7    6.8e-3 
    3.2e-1    5.2e3    1.0e5    2.7e5    5.1e5    9.8e5    1.8e6    3.1e6    5.0e6   -2.9e-2 
